pid,product_name,brand,product_url,retail_price,discounted_price,product_rating
ACCDQDYBQ7YH7EF5,Lapguard HP Pavilion dv5-1020el 6 Cell Laptop Battery,Lapguard,http://www.flipkart.com/lapguard-hp-pavilion-dv5-1020el-6-cell-laptop-battery/p/itmdqdyjvzyaye2y?pid=ACCDQDYBQ7YH7EF5,3999,1699,No rating available
ACCDQDYBQZPEEXTY,Lapguard HP Pavilion dv5-1015nr 6 Cell Laptop Battery,Lapguard,http://www.flipkart.com/lapguard-hp-pavilion-dv5-1015nr-6-cell-laptop-battery/p/itmdqdyj3wm6tatf?pid=ACCDQDYBQZPEEXTY,3999,1699,No rating available
ACCDQDYBUGDKDYJS,Lapguard HP Pavilion dv5-1007ca 6 Cell Laptop Battery,Lapguard,http://www.flipkart.com/lapguard-hp-pavilion-dv5-1007ca-6-cell-laptop-battery/p/itmdqdyjrc2szbkx?pid=ACCDQDYBUGDKDYJS,3999,1699,No rating available
ACCDQDYBXJ9HZF37,Lapguard HP Pavilion dv5-1005ef 6 Cell Laptop Battery,Lapguard,http://www.flipkart.com/lapguard-hp-pavilion-dv5-1005ef-6-cell-laptop-battery/p/itmdqdyjznhgyzy9?pid=ACCDQDYBXJ9HZF37,3999,1699,No rating available
ACCDQDYBYCX69WHA,Lapguard HP Pavilion dv5-1008tx 6 Cell Laptop Battery,Lapguard,http://www.flipkart.com/lapguard-hp-pavilion-dv5-1008tx-6-cell-laptop-battery/p/itmdqdyjyuedcf7g?pid=ACCDQDYBYCX69WHA,3999,1699,No rating available
ACCDQDYBYVQZNHCH,Lapguard HP Pavilion dv5-1008ax 6 Cell Laptop Battery,Lapguard,http://www.flipkart.com/lapguard-hp-pavilion-dv5-1008ax-6-cell-laptop-battery/p/itmdqdyjprqfhhzz?pid=ACCDQDYBYVQZNHCH,3999,1699,No rating available
ACCDQDYBZEQG6HPZ,Lapguard HP Pavilion dv5-1005eg 6 Cell Laptop Battery,Lapguard,http://www.flipkart.com/lapguard-hp-pavilion-dv5-1005eg-6-cell-laptop-battery/p/itmdqdyjz5ffegzn?pid=ACCDQDYBZEQG6HPZ,3999,1699,No rating available
ACCDQGVSDZ92ZWGW,Fly FLY Universal Can/Cup Holder for Car,Fly,http://www.flipkart.com/fly-universal-can-cup-holder-car/p/itmdqgvswy3jzpz8?pid=ACCDQGVSDZ92ZWGW,599,399,No rating available
ACCDQJYMJJ5CF8ZY,"STM Flip Cover for iPad (2nd, 3rd and 4th Generation)",STM,http://www.flipkart.com/stm-flip-cover-ipad-2nd-3rd-4th-generation/p/itmdqjymdpgbwxcg?pid=ACCDQJYMJJ5CF8ZY,2799,1999,No rating available
ACCDQRVC3FT9QWAU,Omax 67mm Flower  Lens Hood,Omax,http://www.flipkart.com/omax-67mm-flower-lens-hood/p/itmdqrvchg7mhetw?pid=ACCDQRVC3FT9QWAU,490,350,2.5
ACCDQRVC6BUQGARK,Omax 77mm Flower  Lens Hood,Omax,http://www.flipkart.com/omax-77mm-flower-lens-hood/p/itmdqrvcewxpnsdp?pid=ACCDQRVC6BUQGARK,430,390,No rating available
ACCDQRVCJQ3U5DUS,Omax 58mm Flower  Lens Hood,Omax,http://www.flipkart.com/omax-58mm-flower-lens-hood/p/itmdqrvcztyvdhfs?pid=ACCDQRVCJQ3U5DUS,350,240,2.6
ACCDRREFMB99QZ42,Fly Universal Mobile Holder Crystal Edition For Car Windshield,Fly,http://www.flipkart.com/fly-universal-mobile-holder-crystal-car-windshield/p/itmdrrehjsxc8ey9?pid=ACCDRREFMB99QZ42,599,415,2.4
